id_evaluacion,competencias_evaluadas,result_evaluacion,duracion_evaluacion,estado_evaluacion
1,Habilidades técnicas,Oferta de empleo extendida,60,Aprobado
2,Habilidades interpersonales,Oferta de empleo extendida,45,Aprobado
3,Conocimientos específicos,No cumple con requisitos mínimos,30,Rechazado
4,Capacidad de resolución de problemas,Oferta de empleo extendida,50,Aprobado
5,Comunicación efectiva,No cumple con perfil solicitado,40,Rechazado
6,Adaptabilidad,Oferta de empleo extendida,55,Aprobado
7,Trabajo en equipo,Oferta de empleo extendida,60,Aprobado
8,Gestión del tiempo,No cumple con requisitos mínimos,35,Rechazado
9,Liderazgo,Oferta de empleo extendida,50,Aprobado
10,Creatividad,No cumple con perfil solicitado,45,Rechazado
11,Pensamiento crítico,Oferta de empleo extendida,55,Aprobado
12,Resiliencia,Oferta de empleo extendida,60,Aprobado
13,Ética profesional,No cumple con requisitos mínimos,40,Rechazado
14,Toma de decisiones,Oferta de empleo extendida,50,Aprobado
15,Resolución de conflictos,No cumple con perfil solicitado,45,Rechazado
16,Planificación y organización,Oferta de empleo extendida,60,Aprobado
17,Innovación,Oferta de empleo extendida,55,Aprobado
18,Capacidad analítica,No cumple con requisitos mínimos,30,Rechazado
19,Empatía,Oferta de empleo extendida,50,Aprobado
20,Negociación,No cumple con perfil solicitado,45,Rechazado
