id_certificado,curso_certificado,nivel_certificado
301,Certificación en Gestión de Calidad ISO 9001,Avanzado
302,Diplomado en Administración de Empresas,Intermedio
303,Certificado en Control de Calidad Alimentaria,Avanzado
304,Curso en Finanzas Corporativas,Intermedio
305,Certificación en Seguridad Alimentaria HACCP,Avanzado
306,Certificado en Desarrollo de Software,Avanzado
307,Curso en Logística y Distribución,Intermedio
308,Diplomado en Marketing Digital,Intermedio
309,Certificación en Contabilidad Financiera,Avanzado
310,Maestría en Recursos Humanos,Avanzado
311,Curso en Mantenimiento Industrial,Intermedio
312,Diplomado en Seguridad e Higiene Ocupacional,Intermedio
313,Certificado en Gestión Ambiental,Avanzado
314,Diplomado en Ingeniería Agroindustrial,Intermedio
315,Curso en Gestión de Almacenes,Intermedio
316,Certificación en Química Analítica,Avanzado
317,Curso en Tecnología de Alimentos,Intermedio
318,Diplomado en Producción de Frutas,Intermedio
319,Certificado en Biología Molecular,Avanzado
320,Maestría en Logística y Transporte,Avanzado
