id_vac,id_departamento,id_cargo,id_perfil,ubicacion,beneficio,salario,horario
00200001,1,1,1,Ciudad A,Seguro de vida,2500.00,Lunes a Viernes de 8am a 5pm
00200002,2,2,2,Ciudad B,Bonos de productividad,3000.00,Lunes a Viernes de 9am a 6pm
00200003,3,3,3,Ciudad C,Transporte subsidiado,2000.00,Lunes a Viernes de 7am a 4pm
00200004,4,4,4,Ciudad D,Comida subsidiada,3500.00,Lunes a Viernes de 10am a 7pm
00200005,5,5,5,Ciudad E,Seguro médico,4000.00,Lunes a Viernes de 8am a 5pm
00200006,6,6,6,Ciudad F,Gimnasio en la empresa,3000.00,Lunes a Viernes de 9am a 6pm
00200007,7,7,7,Ciudad G,Días libres adicionales,2000.00,Lunes a Viernes de 8am a 5pm
00200008,8,8,8,Ciudad H,Teletrabajo,4500.00,Lunes a Viernes de 9am a 6pm
00200009,9,1,9,Ciudad I,Bonos por resultados,3000.00,Lunes a Viernes de 8am a 5pm
00200010,10,2,10,Ciudad J,Oportunidades de crecimiento,2500.00,Lunes a Viernes de 9am a 6pm
00200011,11,3,11,Ciudad K,Estacionamiento gratuito,3500.00,Lunes a Viernes de 8am a 5pm
00200012,12,4,12,Ciudad L,Comedor en la empresa,2000.00,Lunes a Viernes de 9am a 6pm
00200013,13,5,13,Ciudad M,Seguro dental,4000.00,Lunes a Viernes de 8am a 5pm
00200014,1,6,1,Ciudad N,Asistencia médica,3000.00,Lunes a Viernes de 9am a 6pm
00200015,2,7,2,Ciudad O,Horario flexible,2000.00,Lunes a Viernes de 8am a 5pm
00200016,3,8,3,Ciudad P,Reembolso de educación,3500.00,Lunes a Viernes de 9am a 6pm
00200017,4,1,4,Ciudad Q,Bono de cumpleaños,2500.00,Lunes a Viernes de 8am a 5pm
00200018,5,2,5,Ciudad R,Descuentos en productos,4000.00,Lunes a Viernes de 9am a 6pm
00200019,6,3,6,Ciudad S,Vacaciones adicionales,3000.00,Lunes a Viernes de 8am a 5pm
00200020,7,4,7,Ciudad T,Programas de bienestar,2000.00,Lunes a Viernes de 9am a 6pm
